,community_size,name,lexical_change,ideology_lexical_change,male_ratio,friends_count_mean,friends_count_median,follower_count_mean,follower_count_median,tweet_count_mean,tweet_count_median,tweet_count_rank,topic_words,top_follows
0,480,Wrestle,0.123816028,0.069033449,0.834319527,937.8770833,630,8332.564583,132.5,6340.041667,1332.5,108,"wrestl,wwe,wrestler,pro,fan,gamer,sport,#wwe,youtub,championship,fanat,hardcor,savag,xbox,game","TripleH,JohnCena,WWE,steveaustinBSR,RandyOrton,WWEDanielBryan,WWERollins,IAmJericho,TheRock,ShawnMichaels,StephMcMahon,VinceMcMahon,mikethemiz,HEELZiggler,TrueKofi,SashaBanksWWE,WWERomanReigns,WWEUniverse,CMPunk,RealPaigeWWE,BeckyLynchWWE,TheAJMendez,FinnBalor,RealMickFoley,WWECesaro"
1,3746, ,0.1206995,0.078447918,0.861407249,1290.362787,766,3618.45969,426.5,7877.874266,1037,93,"freak,dick,dl,bottom,atl,ass,nigga,freaki,top,vers,ver,dm,kik,dude,look","phatrabbitkill2,850Bdt,Yzmab,SRhyheim,Rastadikk1,AtlReddPolo,xgchase,TyroneNJohnnell,Str8ShootahATL,DLXRATED,AtlantaTrade,LustRashad,BeastDatBoss,_itz_TEDDY,Temptations312,Nola_Bwoy,xclusive002,MrMrslimkat,itsmeyoukraving,chino_blac,officialmckell,thaheromars,maxkonnorxxx,AtlantaDl3,"
2,426, ,0.115061283,0.058829007,0.283505155,1118.399061,717.5,1303.957746,329,4372.065728,1230.5,102,"author,writer,book,write,novel,publish,fiction,reader,editor,bestsel,librarian,rep'd,seri,romanc,cat","nytimesbooks,penguinrandom,goodreads,penguinusa,PublishersWkly,nybooks,nprbooks,simonschuster,ajc,BarackObama,WritersDigest,littlebrown,NewYorker,nytimes,HarperCollins,parisreview,GuardianBooks,latimesbooks,TwitterBooks,neilhimself,TheEllenShow,PenguinBooks,nationalbook,cl_atlanta,NPR"
3,274,Car,0.134149428,0.071630795,0.768518519,798.7226277,480,568.5474453,140,4161.412409,593,65,"car,automot,auto,market,enthusiast,detail,dealership,tire,f1,truck,vehicl,dealer,cbt,industri,pre-own","Audi,Porsche,MercedesBenz,MercedesBenzUSA,ajc,Ford,Lamborghini,chevrolet,astonmartin,Cadillac,GM,Lexus,BentleyMotors,BarackObama,Maserati_HQ,BMW,BMWUSA,Jaguar,VW,Jeep,wsbtv,NissanUSA,Honda,JaguarUSA,rollsroycecars"
4,351,Pop Cuture / Entertainment,0.162929807,0.1570169,0.676470588,207.2108262,101,55.00854701,14,300.2364672,14,14,"hanna,opp,atlanta,us,locksmith,filthyrichmyteammedo,#elecciones2016,supercar,12z,whoopi,uniqu,facebook,indi,instagram,experi","ajc,ATL_Events,cl_atlanta,AtlantaMagazine,MidtownATL,CityofAtlanta,piedmontpark,espn,ATLINtownPaper,DiscoverAtlanta,jimmyfallon,SportsCenter,GAFollowers,BarackObama,AtlantaBeltLine,cnnbrk,taylorswift13,11AliveNews,KasimReed,TheEllenShow,FOX5Atlanta,AtlantaFalcons,danieltosh,wsbtv,KevinHart4real"
5,1402,Teacher,0.094439052,0.051712893,0.300934579,591.4914408,346,701.0606277,208.5,1870.786733,490,53,"school,educ,teacher,elementari,princip,learn,student,public,grade,instruct,learner,leader,program,specialist,ap","apsupdate,ajc,georgiadeptofed,CarstarphenMJ,usedgov,educationweek,BarackObama,edutopia,wsbtv,CityofAtlanta,BGCMA_CEO,FultonCoSchools,DrEmilyAMassey,HuffPostEdu,APSPartnerships,KeishaBottoms,GaStandardsOrg,USNewsEducation,DonyallD,gaschoolsnews,dan_a_sims,FOX5Atlanta,AssocSupBattle,KasimReed,WeAreTeachers"
6,371,Beauty,0.133310426,0.084359562,0.089285714,488.606469,325,834.8113208,132,8056.083558,1274,104,"makeup,beauti,mua,hair,youtub,fashion,lash,ig,artist,love,esthetician,addict,blogger,skin,lover","UrbanDecay,Sephora,NyxCosmetics,BenefitBeauty,MACcosmetics,tartecosmetics,ColourPopCo,TooFaced,ABHcosmetics,Smashbox,MAKEUPFOREVERUS,NARSCosmetics,MorpheBrushes,stilacosmetics,rihanna,ultabeauty,BarackObama,Jaclynhill,KimKardashian,NikkieTutorials,BobbiBrown,elfcosmetics,KylieJenner,iamcardib,fentybeauty"
7,671,LGBT,0.096839681,0.06979624,0.72244898,660.3934426,389,799.4083458,181,3350.438152,493,55,"gay,lgbtq,lgbt,hiv,atlanta,communiti,activist,lesbian,queer,__,transgend,support,tran,aid,pride","atlantapride,ProjectQAtlanta,theGAVoice,HRC,GAEquality,NOH8Campaign,glaad,BarackObama,TheEllenShow,HRCATL,TheAdvocateMag,cl_atlanta,ajc,huffpostqueer,FenuxeMagazine,CityofAtlanta,LambdaLegal,andersoncooper,ladygaga,DavidAtlantaGA,HillaryClinton,outmagazine,cnnbrk,AtlantaMagazine,Oprah"
8,275, ,0.13696146,0.103975961,0.352941176,756.1345455,402,760.9818182,130,6243.007273,1124,96,"dead,walk,twd,#twdfamili,fan,egyptian,#twd,slinger,gamer,tachanka,_makeup,veeam,i'm,model,nurs","wwwbigbaldhead,WalkingDead_AMC,LaurenCohan,steveyeun,mcbridemelissa,chandlerriggs,AMCTalkingDead,TheWalkingDead,DanaiGurira,Cudlitz,SonequaMG,emmykinney,BarackObama,jimmyfallon,JDMorgan,TheEllenShow,hardwick,RobertKirkman,ajc,wsbtv,jonnybernthal,ChadLColeman,AMC_TV,Laurie_Holden,AlannaMasterson"
9,209, ,0.12454269,0.073624421,0.75,554.9712919,341,315.2009569,167,7266.267943,1805,119,"steeler,#steelersn,pittsburgh,pirat,#steelern,snozberri,love,#steeler,dream,gina,jersey,ain't,str,hate,alumnus","steelers,AB84,TeamJuJu,LeVeonBell,tpolamalu,mvp86hinesward,BarackObama,CoachTomlin,SportsCenter,espn,NFL,jharrison9292,RyanShazier,ajc,KingJames,JeromeBettis36,_BigBen7,bkeisel99,CamHeyward,MaurkicePouncey,_TJWatt,KevinHart4real,GAFollowers,AdamSchefter,Drake"
10,283, ,0.11617368,0.072740997,0.428571429,577.1024735,367,767.4310954,215,4588.558304,949,88,"run,runner,marathon,triathlet,5k,race,athlet,fit,ironman,coach,healthi,rrca,ambassador,10k,endur","ATLtrackclub,PeachyRuns,runnersworld,ajc,ajcprr,AtlantaBeltLine,BarackObama,PhidippidesATL,piedmontpark,cnnbrk,wsbtv,ATL_Events,CityofAtlanta,cl_atlanta,AtlantaMagazine,active,brooksrunning,runmeb,Braves,nytimes,WomensRunning,weststride,JeffGalloway,AtlantaFalcons,bostonmarathon"
11,394,Things To Do in Atlanta,0.110476788,0.116757118,0.508196721,785.9822335,541,515.642132,202,968.0913706,112.5,22,"atlanta,servic,offer,event,locat,us,area,compani,metro,call,clean,apart,busi,restaur,discount","tasteofatlanta,ATLINtownPaper,atlantamusic,yelpatlanta,CityofAtlanta,atlantasocial,AtlantaFalcons,Q997Atlanta,AtlantaSymphony,Braves,CenterStageAtl,DiscoverAtlanta,ZooATL,UndergroundATL,atlantatribune,AtlantaMagazine,AtlantaBallet,atlandco,AtlantaDream,atlantapride,masquerade_atl,AtlantaDNA,AtlantaBeltLine,ajcatlanta,AtlantaParent"
12,346, ,0.127105468,0.064873019,0.482352941,620.8583815,380.5,394.699422,99,3606.277457,604.5,67,"tenni,blah,sport,mom,player,cricket,fan,proud,fanat,travel,biostatist,immateri,lover,blooper,shih","rogerfederer,RafaelNadal,DjokerNole,Wimbledon,serenawilliams,usopen,BarackObama,ajc,rolandgarros,MariaSharapova,AustralianOpen,andyroddick,andy_murray,Venuseswilliams,TheEllenShow,cnnbrk,CNN,jimmyfallon,nytimes,atptour,CaroWozniacki,wsbtv,espn,Oprah,TennisChannel"
13,297, ,0.140181123,0.08294475,0.666666667,592.9393939,371,630.5925926,174,12241.76431,2474,127,"#whodat,orlean,nola,saint,lsu,#saint,dat,new,glass,@saint,#nola,member,cajun,tracklif,sport","Saints,drewbrees,Cantguardmike,A_kamara6,BarackObama,camjordan94,shonrp2,NFL,SeanPayton,markingram21,SportsCenter,LSUfootball,espn,LilTunechi,KingJames,ajc,Drake,AdamSchefter,stephenasmith,BleacherReport,obj,Mathieu_Era,JoeyB,TheEllenShow,JColeNC"
14,417,HBCU,0.113602518,0.053664729,0.617021277,583.7098321,368,957.6354916,207,3743.021583,642,71,"morehous,colleg,spelman,student,educ,cau,@morehous,clark,communiti,univers,hbcu,offici,career,@cau,alumna","Morehouse,SpelmanCollege,ajc,CAU,BarackObama,CityofAtlanta,HowardU,HBCUBuzz,wsbtv,CNN,jarrettcartersr,KeishaBottoms,KasimReed,cl_atlanta,Oprah,themaroontiger,cnnbrk,nytimes,FOX5Atlanta,AtlantaMagazine,BDTSpelman,GAFollowers,MichelleObama,marclamonthill,ATL_Events"
15,565, ,0.136087467,0.077926384,0.885714286,714.2654867,399,548.0141593,133,7040.378761,1380,110,"manchest,unit,soccer,fc,arsenal,#ggmu,footbal,@chelseafc,madrid,mufc,fan,que,sport,futbol,chelsea","premierleague,ChampionsLeague,Cristiano,ManUtd,BarackObama,FCBarcelona,ChelseaFC,realmadrid,ATLUTD,FIFAcom,Arsenal,neymarjr,LFC,SkySportsNews,brfootball,KingJames,FIFAWorldCup,realDonaldTrump,Drake,WayneRooney,rihanna,CNN,MesutOzil1088,BBCSport,SkySportsPL"
16,1015,Atlanta United (US Soccer),0.098934816,0.054237986,0.747609943,655.7133005,442,1904.920197,174,6744.172414,1788,118,"soccer,unit,@atlutd,#atlutd,atlanta,fan,fc,sport,utd,support,atlutd,#uniteandconqu,mls,club,member","ATLUTD,MLS,DEalesATLUTD,DirtySouthSoc,USMNT,JosefMartinez17,DougRobersonAJC,Longshoe,MFparkhurst,ajc,TerminusLegion,BarackObama,USWNT,JulianGressel,BocaBoca3,bguzan,FdeBoerofficial,alexmorgan13,ESPNFC,atlutd2,FOXSoccer,FootieMob,TaylorTwellman,ResurgenceATL,AtlantaFalcons"
